Title,URL Link,Price,Delivery,Rating,Review
Flowers - Same Day Delivery - Florist Designed Arrangement - Regular,https://www.google.com/shopping/product/1?gl=us&prds=pid:16946758167057358490,19.99,$14.99 delivery,4.4,15800
Black Rose Bouquet 25 Roses - Lex&Roses,https://www.google.com/shopping/product/1?gl=us&prds=pid:7398925088828841560,125,"Delivery by Thu, Mar 7",,
Flower Delivery - Send One Dozen Rainbow Roses,https://www.google.com/shopping/product/1?gl=us&prds=pid:7786400095925513164,19.99,$14.99 delivery,4.4,15800
Member's Mark 6 cm Ecuadorian Premium Roses - Sweetness (100 Stems),https://www.google.com/shopping/product/5611705976688858439?gl=us,89.67,$77.46 delivery,4.5,557
Love Forever Bouquet with Red Roses,https://www.google.com/shopping/product/16208139799865995806?gl=us,67.99,Delivery by tomorrow,4.2,7000
Two Dozen Red Roses Two Dozen Bouquet Only by 1-800 Flowers,https://www.google.com/shopping/product/7422622783099663267?gl=us,44.99,$34.99 delivery,4.2,311
"Bloom & Go Flowers Fresh Bouquet - Celebration, Fresh Cut Farm Direct Flowers ...",https://www.google.com/shopping/product/1?gl=us&prds=pid:14778628496832554394,49.99,Free delivery,,
Hugs and Kisses Bouquet with Red Roses - Standard - Anniversary Flowers,https://www.google.com/shopping/product/15934581328621591341?gl=us,31.99,"Delivery by Mon, Mar 4",,
True Romance Bouquet with Red Roses,https://www.google.com/shopping/product/6092627138384759372?gl=us,59.99,"Delivery by Tue, Mar 5",,
Pink & White Rose Bouquet 100 Roses - Lex&Roses,https://www.google.com/shopping/product/1?gl=us&prds=pid:8011193963875501520,345,"Free delivery by Thu, Mar 7",,
18 Cut Pink Roses,https://www.google.com/shopping/product/8129973767935890098?gl=us,56.99,Free delivery,,
Garden of Dreams Bouquet - Standard - Same Day Delivery,https://www.google.com/shopping/product/8771230313696520062?gl=us,54.99,$18.99 delivery,,
Kissed with Crimson Bouquet,https://www.google.com/shopping/product/12570538460082802476?gl=us,39.99,"Delivery by Tue, Mar 5",,
The Peony Bouquet | Peonies | Modern Flower Delivery by UrbanStems,https://www.google.com/shopping/product/1?gl=us&prds=pid:2791316463750060560,88,$25.00 delivery,3.5,6300
Pink Hydrangea Bouquet - Flower Delivery,https://www.google.com/shopping/product/5139222377929771159?gl=us,68,"Delivery by Sat, Mar 9",4.4,6400
Mixed Flower Bouquet | Mixed Flower Arrangements | Maison la Fleur,https://www.google.com/shopping/product/1?gl=us&prds=pid:17274949917839044635,241.45,Free delivery & Free 30-day returns,4.6,215
Red | Carnations | Precious Love Bouquet | Same Day Flower Delivery | Teleflora ...,https://www.google.com/shopping/product/18118891041725189438?gl=us,49.99,#NAME?,,
Online Flower Delivery – Uniquely Designed Bouquet - Unique Flower Delivery - by ...,https://www.google.com/shopping/product/12493215363886592544?gl=us,108,"Delivery by Thu, Mar 7 · Free lifetime returns",,
Flowers - Premium Bright & Sunny Roses - Regular,https://www.google.com/shopping/product/1?gl=us&prds=pid:2541180756063145830,51.99,$14.99 delivery,4.4,15800
"Member's Mark Spray Roses (White, 120 Stems)",https://www.google.com/shopping/product/1?gl=us&prds=pid:12347327321281429658,154.88,$154.30 delivery,4.5,557
Breathtaking Beauty - 3 Dozen Long Stemmed Roses,https://www.google.com/shopping/product/11610909422525941597?gl=us,186.99,Delivery by tomorrow,4.2,7000
Magnificent Pink Rose & Lily Bouquet Bouquet Only by 1-800 Flowers,https://www.google.com/shopping/product/3847143671946289348?gl=us,54.99,$34.99 delivery,4.2,311
Always on My Mind Flower Bouquet,https://www.google.com/shopping/product/9712271408758684304?gl=us,80,#NAME?,4.7,17
Beautiful Whisper - Standard - Same Day Delivery,https://www.google.com/shopping/product/4666757968963258029?gl=us,159.95,$20.99 delivery · Free 3-day returns,,
Fresh Carnations Choose Your Quantity From 1 to 400 Flowers by GlobalRose,https://www.google.com/shopping/product/1?gl=us&prds=pid:9419297717197205115,55.99,"Free delivery by Thu, Mar 7",4.5,1100
Premium Roses -Real Bouquet of Flowers That Last A Year with No Maintenance or ...,https://www.google.com/shopping/product/14044524705425962362?gl=us,99.99,Free delivery,,
Peony Flower Delivery Assorted,https://www.google.com/shopping/product/1?gl=us&prds=pid:11061019292754716646,310.49,Free delivery,4.3,77
Garden Romance - Standard - Birthday Flowers for Her,https://www.google.com/shopping/product/12176633363366525633?gl=us,75,"Delivery by Mon, Mar 4 · Free 3-day returns",4.8,673
The Romantic Classic Red Rose Bouquet of,https://www.google.com/shopping/product/10489376922641426700?gl=us,48.09,"Delivery by Fri, Mar 8",,
Member's Mark Classic Red Rose Bouquet + Vase (36 Stems),https://www.google.com/shopping/product/17293205477521636780?gl=us,69.88,$38.64 delivery,4.5,557
One Dozen Pink Roses- Fresh Flower Delivery,https://www.google.com/shopping/product/1?gl=us&prds=pid:2013108416640143084,61.99,Free delivery,,
Stunning Red Rose & Calla Lily Bouquet Bouquet Only by 1-800 Flowers,https://www.google.com/shopping/product/8888894721684275633?gl=us,44.99,$34.99 delivery,4.2,311
Bright Ambience Medium. Same Day Flower Delivery,https://www.google.com/shopping/product/1?gl=us&prds=pid:4001560240155091599,259,"Delivery by Tue, Mar 5",,
Fresh and Fabulous Bouquet,https://www.google.com/shopping/product/5581732540496994196?gl=us,31.99,$18.99 delivery,,
Red Roses Flowers Bouquet | Order & Send Flowers Bouquet | Online Flowers ...,https://www.google.com/shopping/product/1?gl=us&prds=pid:4036182746965840379,7.59,"Free delivery by Fri, Apr 5",,
Grower's Choice Bouquet | 18 Fresh Cut Roses | Grace Rose Farm | Next Day Delivery,https://www.google.com/shopping/product/1?gl=us&prds=pid:16168244769295310447,95,"Delivery by Mon, Mar 11",4.8,133
Larkspur Packaged Flowers - Larkspur Grower's Bunch (White),https://www.google.com/shopping/product/1?gl=us&prds=pid:9751716559683100270,14,"Delivery by Mon, Mar 4 · Free 3-day returns",4.8,767
Celebration Bouquet - Local Red Roses,https://www.google.com/shopping/product/1?gl=us&prds=pid:4229041653515904892,15,"Free delivery by Mon, Apr 1",,
Flowers - Blue Skies & Sunshine - Regular,https://www.google.com/shopping/product/1?gl=us&prds=pid:14579125881660046066,35.99,$14.99 delivery,4.4,15800
Presentation Rose Bouquet - 100 Roses,https://www.google.com/shopping/product/1?gl=us&prds=pid:14115335428991141857,279.98,Delivery by tomorrow,4.9,830
Bloom Haus Garden Bouquet - A | Bloom Haus by Kroger,https://www.google.com/shopping/product/1?gl=us&prds=pid:5419263046517193404,70,$5.99 delivery,,
Magical Garden Unicorn Bouquet,https://www.google.com/shopping/product/17971937105066023107?gl=us,50.99,Delivery by tomorrow,4.2,7000
H-E-B Designer Dozen Red Roses Bouquet - 12 ct,https://www.google.com/shopping/product/7815275248826893381?gl=us,17.49,$11.0 same-day delivery,,
"BloomsyBox: 24 Multicolored Alstroemeria Bouquet Flowers, Two Dozen, Long Lasting ...",https://www.google.com/shopping/product/1?gl=us&prds=pid:3961424446181848228,49.99,Free delivery,,
1000 Flower Random Assortment,https://www.google.com/shopping/product/1?gl=us&prds=pid:14971175214463499473,235.99,Free delivery,,
"Benchmark Bouquets 2 Dozen Red Roses, with Vase (Fresh Cut Flowers)",https://www.google.com/shopping/product/16254676719498915327?gl=us,71.83,"Free delivery by Wed, Mar 13",,
Hydrangea Flowers - Flower Delivery,https://www.google.com/shopping/product/13132580403512204076?gl=us,68,"Delivery by Sat, Mar 9",4.4,6400
Cherished Memories Lavender & White Small by 1-800 Flowers,https://www.google.com/shopping/product/4834632935128624525?gl=us,104.99,Delivery by tomorrow · Free 7-day returns,,
Pretty Perfect Bouquet,https://www.google.com/shopping/product/17602454163996134166?gl=us,55,"Free delivery by Sat, Mar 9",,
"Member's Mark 40cm Rose Bouquet + Vase, 100 Stems (Red)",https://www.google.com/shopping/product/3746728901126232949?gl=us,91.87,$122.08 delivery,4.5,557
Perfectly Pastel Bouquet Medium | 1-800-Flowers Flowers Delivery,https://www.google.com/shopping/product/5215463349798521679?gl=us,65,"Delivery by Sat, Mar 9",,
Classic Rose Bouquet 24 Stems / Red / Pink,https://www.google.com/shopping/product/1?gl=us&prds=pid:8262086945494491293,110,"Free delivery by Tue, Mar 19",,
Fields of Europe Bliss Small | 1-800-Flowers Occasions Delivery,https://www.google.com/shopping/product/15709516655645863789?gl=us,46.99,"Delivery by Mon, Mar 4",,
Two Dozen Assorted Roses Bouquet Only by 1-800 Flowers,https://www.google.com/shopping/product/5756924038969745708?gl=us,59.99,$34.99 delivery,4.2,311
Flowers - Florist Designed Anniversary Bouquet - Regular,https://www.google.com/shopping/product/1?gl=us&prds=pid:14066574597651145377,31.99,$14.99 delivery,4.4,15800
200 Stems of White with Pinkish Red Sweetness Roses Fresh Flower Delivery,https://www.google.com/shopping/product/9272391757827488038?gl=us,246.99,Free delivery,,
"Ranunculus Amandine Pastel Mix, pack of 20",https://www.google.com/shopping/product/1?gl=us&prds=pid:17512361011922194133,29.95,$9.00 delivery,,
Cherished Memories All White Small by 1-800 Flowers,https://www.google.com/shopping/product/11104664620205624262?gl=us,125,"Delivery by Wed, Mar 6",4.9,123
Jumping for Joy Flowers For Birthday Flower Delivery - Blooms Today,https://www.google.com/shopping/product/1?gl=us&prds=pid:5986700857280546759,75,"Free delivery by Tue, Mar 5",,
Hydrangea and Rose Bouquet | Elegant Flowers | Maison la Fleur,https://www.google.com/shopping/product/1?gl=us&prds=pid:1769916282607024094,329.65,Free delivery & Free 30-day returns,4.6,215
